type_of_reference,authors,primary_title,title,publication_year,year,abstract
JOUR,"X. Ning, Y. Kim, S. D. Min, X. Guo, J. Gab Ho",,Exploring Achilles Tendon Vibration Data Classification for Balance Training: A Wavelet-Based Machine Learning Approach,2024,2024,"Balance training is widely used to improve stability, and Achilles tendon vibration is an effective method. However, evaluation of training progress often relies on Center of Pressure (COP) analysis, which can be challenging for non-experts. To provide an objective and automated assessment, this study explores machine learning techniques. Achilles tendon vibration was applied during standing, and COP data were collected under various conditions, including eyes open/closed and cognitive/non-cognitive tasks. To more accurately assess the training effects, this study applied machine learning techniques that combine wavelet decomposition for feature extraction. Three genetic algorithm-based machine learning models (GA-SVM, GA-LGBM, and GA-LR) were constructed for feature selection and classification. The results showed that all three models achieved classification accuracies above 80% in identifying Achilles tendon vibration and non-vibration data, with SVM achieving the highest accuracy of 89.59%. Among the selected features, entropy category features played a crucial role, and entropy values were higher under Achilles tendon vibration conditions than under non-vibration conditions. This study confirms the feasibility of applying machine learning to Achilles tendon vibration rehabilitation training in the future, and the identified key features also provide a theoretical basis for the analysis of Achilles tendon vibration data. These findings provide valuable insights for further optimization of balance rehabilitation training programs."
CONF,"W. Dai, J. Lin, H. Jin, T. Li, Y. -S. Tsai, D. Gašević, G. Chen",,Can Large Language Models Provide Feedback to Students? A Case Study on ChatGPT,10-13 July 2023,2023,"Educational feedback has been widely acknowledged as an effective approach to improving student learning. However, scaling effective practices can be laborious and costly, which motivated researchers to work on automated feedback systems (AFS). Inspired by the recent advancements in the pre-trained language models (e.g., ChatGPT), we posit that such models might advance the existing knowledge of textual feedback generation in AFS because of their capability to offer natural-sounding and detailed responses. Therefore, we aimed to investigate the feasibility of using ChatGPT to provide students with feedback to help them learn better. Our results show that i) ChatGPT is capable of generating more detailed feedback that fluently and coherently summarizes students' performance than human instructors; ii) ChatGPT achieved high agreement with the instructor when assessing the topic of students' assignments; and iii) ChatGPT could provide feedback on the process of students completing the task, which might benefit students developing learning skills."
JOUR,"Dai, Wei, Tsai, Yi-Shan, Lin, Jionghao, Aldino, Ahmad, Jin, Hua, Li, Tongguang, Gašević, Dragan, Chen, Guanliang",Assessing the proficiency of large language models in automatic feedback generation: An evaluation study,,,2024,"Assessment feedback is important to student learning. Learning analytics (LA) powered by artificial intelligence exhibits profound potential in helping instructors with the laborious provision of feedback. Inspired by the recent advancements made by Generative Pre-trained Transformer (GPT) models, we conducted a study to examine the extent to which GPT models hold the potential to advance the existing knowledge of LA-supported feedback systems towards improving the efficiency of feedback provision. Therefore, our study explored the ability of two versions of GPT models – i.e., GPT-3.5 (ChatGPT) and GPT-4 – to generate assessment feedback on students' writing assessment tasks, common in higher education, with open-ended topics for a data science-related course. We compared the feedback generated by GPT models (namely GPT-3.5 and GPT-4) with the feedback provided by human instructors in terms of readability, effectiveness (content containing effective feedback components), and reliability (correct assessment on student performance). Results showed that (1) both GPT-3.5 and GPT-4 were able to generate more readable feedback with greater consistency than human instructors, (2) GPT-4 outperformed GPT-3.5 and human instructors in providing feedback containing information about effective feedback dimensions, including feeding-up, feeding-forward, process level, and self-regulation level, and (3) GPT-4 demonstrated higher reliability of feedback compared to GPT-3.5. Based on our findings, we discussed the potential opportunities and challenges of utilising GPT models in assessment feedback generation."
CONF,"J. L. Reguera, Y. F. Leiva",,A learning methodology for object oriented programming with effective support from the PA3P automatic evaluation platform,16-20 Oct. 2017,2017,"This article presents a methodology that uses the Platform for Active Programming Learning Support PA3P in the first stage of an Object Programming (OOP) course. The platform tests online the Java Programs that students write as exercises, enabling testing and personalized feedback generation for students. PA3P is a new version of a previous platform developed for introductory programming course in languages such as C, Java and Matlab, but with evaluation mechanisms adapted for handling Java projects and carry at automated evaluation of OOP concepts. This work presents the criteria used for creating didactic problem sequences and effectively applying them through automatic evaluation. The results obtained after two semesters of use show that that automatic evaluation positively affects students and performance. To obtain preliminary information about de effectiveness of platform, a qualitative and quantitative was carried out. The qualitative aspects where extracted by observing students behavior during the learning process, while quantitative analysis is based on data registered by platform and the evolution of students grades."
CONF,"K. Umbleja, V. Kukk, M. Jaanus",,Analysis of competency-based learning — 6 Years later,25-28 April 2017,2017,"Competency-based learning (CBL) has gained a lot of momentum lately but rarely has it been implemented fully in e-learning environment as a central, driving force for learning. In 2010 ISC e-learning environment was switched from classical topic-based learning to CBL. Two years into the new approach, detailed analysis was conducted. Now, 6 years since introducing CBL, another analysis using educational data mining principles is conducted to compare how learning patterns and student behavior has changed during the years. At first, current framework of CBL used in ISC is covered that contains automatic answer evaluation, uninterrupted learning process, self-regulated learning, usage of memory model and personal learning control engine. Then, different aspects of the framework are analyzed - the usage of competences in the system, time spent in the system by the student, amount of work required to complete the courses, students' results and study patterns. Three distinct behavior periods are identified."
CONF,"J. Krugel, P. Hubwieser, M. Goedicke, M. Striewe, M. Talbot, C. Olbricht, M. Schypula, S. Zettler",,Automated Measurement of Competencies and Generation of Feedback in Object-Oriented Programming Courses,27-30 April 2020,2020,"To overcome the shortage of computer specialists, there is an increased need for correspondent study and training offers, in particular for learning programming. The automated assessment of solutions to programming tasks could relieve teachers of time-consuming corrections and provide individual feedback even in online courses without any personal teacher. The e-assessment system JACK has been successfully applied for more than 12 years up to now, e.g., in a CS1 lecture. However, there are only few solid research results on competencies and competence models for object-oriented programming (OOP), which could be used as a foundation for high-quality feedback.In a joint research project of research groups at two universities, we aim to empirically define competencies for OOP using a mixed-methods approach. In a first step, we performed a qualitative content analysis of source code (sample solutions and students’ solutions) and as a result identified a set of suitable competency components that forms the core of further investigations. Semi-structured interviews with learners will be used to identify difficulties and misconceptions of the learners and to adapt the set of competency components. Based on that we will use Item Response Theory (IRT) to develop an automatically evaluable test instrument for the implementation of abstract data types. We will further develop empirically founded and competency-based feedback that can be used in e-assessment systems and MOOCs."
JOUR,"H. -M. Chen, B. -A. Nguyen, Y. -X. Yan, C. -R. Dow",,Analysis of Learning Behavior in an Automated Programming Assessment Environment: A Code Quality Perspective,2020,2020,"Automated programming assessment systems are useful tools to track the learning progress of students automatically and thereby reduce the workload of educators. They can also be used to gain insights into how students learn, making it easier to formulate strategies aimed at enhancing learning performance. Rather than functional code which is always inspected, code quality remains an essential aspect to which not many educators consider when designing an automated programming assessment system. In this study, we applied data mining techniques to analyze the results of an automated assessment system to reveal unexpressed patterns in code quality improvement that are predictive of final achievements in the course. Cluster analysis is first utilized to categorize students according to their learning behavior and outcomes. Cluster profile analysis is then leveraged to highlight actionable factors that could affect their final grades. Finally, the same factors are employed to construct a classification model by which to make early predictions of the students' final results. Our empirical results demonstrate the efficacy of the proposed scheme in providing valuable insights into the learning behaviors of students in novice programming courses, especially in code quality assurance, which could be used to enhance programming performance at the university level."
JOUR,"Stahovich, Thomas F., Lin, Hanlung",Enabling data mining of handwritten coursework,,,2016,"Data mining has become an increasingly important tool for education researchers and practitioners. However, work in this field has focused on data from online educational systems. Here, we present techniques to enable data mining of handwritten coursework, which is an essential component of instruction in many disciplines. Our techniques include methods for classifying pen strokes as diagram, equation, and cross-out strokes. The latter are used to strike out erroneous work. We have also created techniques for grouping equation strokes into equation groups and then individual characters. Our results demonstrate that our classification and grouping techniques are more accurate than prior techniques for this task. We also demonstrate applications of our techniques for automated assessment of student competence. We present a novel approach for measuring the correctness of exam solutions from an analysis of lexical features of handwritten equations. This analysis demonstrates, for example, that the number of equation groups correlates positively with grade. We also use our techniques to extend graphical protocol analysis to free-form, handwritten problem solutions. While prior work in a laboratory setting suggests that long pauses are indicative of low competence, our work shows that the frequency of long pauses during exams correlates positively with competence."
JOUR,"Hung, Andrew J., Rambhatla, Sirisha, Sanford, Daniel I., Pachauri, Nilay, Vanstrum, Erik, Nguyen, Jessica H., Liu, Yan",Road to automating robotic suturing skills assessment: Battling mislabeling of the ground truth,,,2022,"Objective To automate surgeon skills evaluation using robotic instrument kinematic data. Additionally, to implement an unsupervised mislabeling detection algorithm to identify potentially mislabeled samples that can be removed to improve model performance. Methods Video recordings and instrument kinematic data were derived from suturing exercises completed on the Mimic FlexVR robotic simulator. A structured human consensus-building process was developed to determine Robotic Anastomosis Competency Evaluation technical scores across 3 human graders. A 2-layer long short-term memory–based classification model used instrument kinematic data to automate suturing skills assessment. An unsupervised label analyzer (NoiseRank) was used to identify potential mislabeling of skills data. Performance of the long short-term memory model’s technical skill score prediction was measured by best area under the curve over the training runs. NoiseRank outputted a ranked list of rated skills assessments based on likelihood of mislabeling. Results 22 surgeons performed 226 suturing attempts, which were broken down into 1,404 individual skill assessment points. Automation of needle entry angle, needle driving, and needle withdrawal technical skill scores performed better (area under the curve 0.698–0.705) than needle positioning (0.532) at baseline using all available data. Potential mislabels were subsequently identified by NoiseRank and removed, improving model performance across all domains (area under the curve 0.551–0.766). Conclusion Using ground truth labels from human graders and robotic instrument kinematic data, machine learning models have automated assessment of detailed suturing technical skills with good performance. Further, an unsupervised mislabeling detection algorithm projected mislabeled data, allowing for their removal and subsequent improvement of model performance."
JOUR,"Gearhart, Addison, Dwork, Nicholas, Jone, Pei-Ni",Artificial intelligence in echocardiography to diagnose congenital heart disease and fetal echocardiography,,,2022,"Echocardiography is the primary tool in pediatric cardiology for diagnosing and managing congenital heart disease (CHD). Accurate and reliable echocardiographic assessment is critical in clinical decision making. Artificial intelligence (AI), in particular deep learning, has the potential to reduce labor and provide automated assessment of CHD. In this review, the application of AI in pediatric and fetal echocardiography are described with the need for future multicenter collaboration to fully leverage the use of AI for echocardiography in the pediatric population."
JOUR,"Birla, Nayna, Kumar Jain, Manoj, Panwar, Avinash",Automated assessment of subjective assignments: A hybrid approach,,,2022,"Machine learning (ML) has recently gained popularity in a variety of domains for automating tasks. This has also been used in the evaluation of student responses/ assignments. This paper presents a qualitatively enhanced methodology for automated score prediction of subjective assignments. To consider all the major aspects of a human grader, 21 linguistic features related to syntactical, grammatical, sentimental, and readability are analyzed from the assignments. This study makes use of the ASAP competition dataset from Kaggle. The evaluation metric used is Quadratic Weighted Kappa (QWK), which measures the agreement between the human graded score and the predicted score. The effect of appropriate feature selection has been observed using Mutual Information Regression. Four ML algorithms are investigated on identified linguistic features. 3 Layer Neural Network with feature selection performed well among all chosen ML algorithms with average QWK of 0.678. To include the benefits of deep learning, a new hybrid model (LF-BiLSTM-att-FS) is proposed that combines a higher level deep neural network (DNN) with the selected features. Pre-trained Glove embedding is used to include contextual information of the text. The proposed model results demonstrated an improvement in overall accuracy, with an average QWK value of 0.768."
JOUR,"Starmans, Martijn P.A., Miclea, Razvan L., Vilgrain, Valerie, Ronot, Maxime, Purcell, Yvonne, Verbeek, Jef, Niessen, Wiro J., Ijzermans, Jan N.M., de Man, Rob A., Doukas, Michael, Klein, Stefan, Thomeer, Maarten G.",Automated Assessment of T2-Weighted MRI to Differentiate Malignant and Benign Primary Solid Liver Lesions in Noncirrhotic Livers Using Radiomics,,,2024,"Rationale and Objectives Distinguishing malignant from benign liver lesions based on magnetic resonance imaging (MRI) is an important but often challenging task, especially in noncirrhotic livers. We developed and externally validated a radiomics model to quantitatively assess T2-weighted MRI to distinguish the most common malignant and benign primary solid liver lesions in noncirrhotic livers. Materials and Methods Data sets were retrospectively collected from three tertiary referral centers (A, B, and C) between 2002 and 2018. Patients with malignant (hepatocellular carcinoma and intrahepatic cholangiocarcinoma) and benign (hepatocellular adenoma and focal nodular hyperplasia) lesions were included. A radiomics model based on T2-weighted MRI was developed in data set A using a combination of machine learning approaches. The model was internally evaluated on data set A through cross-validation, externally validated on data sets B and C, and compared to visual scoring of two experienced abdominal radiologists on data set C. Results The overall data set included 486 patients (A: 187, B: 98, and C: 201). The radiomics model had a mean area under the curve (AUC) of 0.78 upon internal validation on data set A and a similar AUC in external validation (B: 0.74 and C: 0.76). In data set C, the two radiologists showed moderate agreement (Cohen’s κ: 0.61) and achieved AUCs of 0.86 and 0.82. Conclusion Our T2-weighted MRI radiomics model shows potential for distinguishing malignant from benign primary solid liver lesions. External validation indicated that the model is generalizable despite substantial MRI acquisition protocol differences. Pending further optimization and generalization, this model may aid radiologists in improving the diagnostic workup of patients with liver lesions."
JOUR,"Kumar, D. Senthil, Askarunisa, A., Kumar, R. Mohan",Embedded processor based automated assessment of quality of the water in an IoT background,,,2020,"For the life of human beings, water is necessary. While nearly 70% of the earth is drained, just 3% are known to be fresh water. Moreover, approximately 2.6% of the cooling water is not accessible to people. They are either trapped in glaciers and polar ice caps, contained in the soil or water, heavily poisoned, or unnecessarily drained below the Earth's surface. So only 0.4% of the drinkable water in the world is shared by the 7 billion inhabitants. Fresh water is therefore a valuable resource to be regulated and properly maintained. Only 80% of liquid fresh water should not be available to the public in many developing countries. By exponentially increasing the population of India, Fresh Water management in the farming, manufacturing and other fields is much more critical because of water requirements. “Physical, biological and chemical” parameters can be analyzed in determining the Fresh Water Quality. The scientists will manually carry out traditional water quality sampling. Nonetheless, this method takes a little bit of time and is cost-effective. Now, the IoT technology is used to track, capture and analyze the data in various fields of research. In this paper, we design a low-cost system to achieve water value in an IOT environment. The system consists of several sensors used for the calculation of chemical and physical water parameters. The machine learning algorithm has also been used to forecast water quality based on its data set, which were learned from a number of water samples. This system was modeled by using the U D00* 86 Ultra and Teensy++2.0 data processors at low budgets."
JOUR,"Yurk, Dominic, Barrios, Joshua P., Labrecque Langlais, Elodie, Avram, Robert, Aras, Mandar A., Abu-Mostafa, Yaser, Padmanabhan, Arun, Tison, Geoffrey H.",Automated Assessment of Right Atrial Pressure From Ultrasound Videos Using Machine Learning,,,2024,"Background Early recognition of volume overload is essential for heart failure patients. Volume overload can often be easily treated if caught early but causes significant morbidity if unrecognized and allowed to progress. Intravascular volume status can be assessed by ultrasound-based estimation of right atrial pressure (RAP), but the availability of this diagnostic modality is limited by the need for experienced physicians to accurately interpret these scans. Objectives We sought to evaluate whether machine learning can accurately estimate echocardiogram-measured RAP. Methods We developed fully automated deep learning models for identifying inferior vena cava scans with rapid inspiration in echocardiogram studies and estimating RAP from those scans. The RAP estimation model was trained and evaluated using 15,828 ultrasound videos of the inferior vena cava and coupled cardiologist-assessed RAP estimates as well as 319 RAP measurements from right heart catheterization. Results Our model agreed with cardiologist estimates 80.3% of the time (area under the receiver-operating characteristic of 0.844) in a test data set, at the upper end of interoperator agreement rates found in the literature of 70 to 75%. Our model’s RAP estimates were statistically indistinguishable from cardiologists’ ultrasound-based RAP estimates (P = 0.98) when compared against the gold standard of right heart catheterization RAP measurements in a subset of patients. Our model also generalized well to an external data set of echocardiograms from a different institution (area under the receiver-operating characteristic of 0.854 compared to cardiologist RAP estimates). Conclusions Machine learning is capable of accurately and robustly interpreting RAP from echocardiogram videos. This algorithm could be used to perform automated assessments of intravascular volume status."
JOUR,"Rahman, Md Juber, Nemati, Ebrahim, Rahman, Md Mahbubur, Nathan, Viswam, Vatanparvar, Korosh, Kuang, Jilong",Automated assessment of pulmonary patients using heart rate variability from everyday wearables,,,2020,"Everyday wearables with enhanced computational capacity, good quality sensors, and machine learning/artificial intelligence enabled algorithms have the potential to play a key role not only in the fitness and wellness sector but also in the field of disease diagnostics and monitoring. The major challenges are a limited number of sensors, reliable data collection and processing, and deployment of computationally efficient algorithms. In this multi-cohort study, we have used everyday wearables such as chest band and smartwatch to investigate the heart rate variability (HRV) of 131 subjects which include 40 healthy controls, 69 asthma patients, 9 COPD patients and 13 patients with a co-morbidity of asthma and COPD. We aimed at a comprehensive investigation by exploring a total of 58 features including time domain, frequency domain, non-linear and entropy measures of HRV to identify the HRV indices that provide significant discriminatory information for classification between healthy and pulmonary patients. Feature ranking has been done by the area under the receiver operating characteristics curve. Classification of patients with the 15 top ranked features using data from the chest band heart rate sensor as well as estimated HRV parameters from smartwatch PPG signal have been investigated separately. Using the chest band data, a classification accuracy of 82.07%, precision of 83.13%, recall of 81.53% and F-1 score of 81.7% have been achieved; whereas using the smartwatch data, a classification accuracy of 80%, precision of 79.9%, recall of 80% and F-1 score of 79.94% have been achieved for the test set with an AdaBoost classifier. Heart rate variability metrics also showed significant correlation with disease severity and impact on health-related quality of life as measured by pulmonary function test, Asthma Symptoms Utility Index and COPD assessment test score respectively. The results indicate that HRV analysis using everyday wearables may be helpful in the assessment and management of asthma and COPD."
JOUR,"Ioshchikhes, Borys, Borst, Fabian, Weigold, Matthias",Assessing Energy Efficiency Measures for Hydraulic Systems using a Digital Twin,,,2022,"As manufacturing companies around the world face the challenge of reducing CO2 emissions and achieving their climate goals, increasing energy efficiency provides a promising solution while potentially reducing costs. Hydraulic systems are used in a wide range of applications such as heating, ventilation, air conditioning or machine tools and account for approximately 11 % of the electric energy demand in the German industry in 2017. Furthermore, up to 25 million tons of CO2 are emitted annually in Germany as a result of their operation. Against this background, the following paper aims to increase the energy efficiency of hydraulic systems through automated assessment of energy efficiency measures during system operation. Therefore, we present a modular approach for real-time assessing of energy efficiency measures using a digital twin, which contains an expert system combined with real-time simulation models. To detect inefficiencies without time consuming analysis and substantial user expertise, the expert system automatically identifies system leakage and increased flow resistance using a multi-output regression model. Finally, the expert system aims at engaging operators to implement energy efficiency measures by quantifying their respective energy saving potentials. The proposed measures are applied to the virtual representation of a hydraulic system in real-time. Therefore, a Modelica simulation model is developed, which is exported as a functional mock-up unit (FMU) and integrated into a Python framework. If measures lead to an improvement in energy efficiency, these are recommended to the operator. The overall concept is validated using a physical hydraulic system within the ETA Research Factory. The validation of the prototype shows that the developed approach can be applied to industrial applications and help in reducing their energy consumption."
JOUR,"Fatimah, Binish, Singhal, Amit, Singh, Pushpendra",A multi-modal assessment of sleep stages using adaptive Fourier decomposition and machine learning,,,2022,"Healthy sleep is essential for the rejuvenation of the body and helps in maintaining good health. Many people suffer from sleep disorders that are characterized by abnormal sleep patterns. Automated assessment of such disorders using biomedical signals has been an active subject of research. Electroencephalogram (EEG) is a popular diagnostic used in this regard. We consider a widely-used publicly available database and process the signals using the Fourier decomposition method (FDM) to obtain narrowband signal components. Statistical features extracted from these components are passed on to machine learning classifiers to identify different stages of sleep. A novel feature measuring the non-stationarity of the signal is also used to capture salient information. It is shown that classification results can be improved by using multi-channel EEG instead of single-channel EEG data. Simultaneous utilization of multiple modalities, such as Electromyogram (EMG), Electrooculogram (EOG) along with EEG data leads to further enhancement in the obtained results. The proposed method can be efficiently implemented in real-time using fast Fourier transform (FFT), and it provides better classification results than the other algorithms existing in the literature. It can assist in the development of low-cost sensor-based setups for continuous patient monitoring and feedback."
JOUR,"Alter, Benedict J., Moses, Mark, DeSensi, Rebecca, O’Connell, Brian, Bernstein, Cheryl, McDermott, Sean, Jeong, Jong-Hyeon, Wasan, Ajay D.",Hierarchical Clustering Applied to Chronic Pain Drawings Identifies Undiagnosed Fibromyalgia: Implications for Busy Clinical Practice,,,2024,"Currently-used assessments for fibromyalgia require clinicians to suspect a fibromyalgia diagnosis, a process susceptible to unintentional bias. Automated assessments of standard patient-reported outcomes (PROs) could be used to prompt formal assessments, potentially reducing bias. We sought to determine whether hierarchical clustering of patient-reported pain distribution on digital body map drawings predicted fibromyalgia diagnosis. Using an observational cohort from the University of Pittsburgh’s Patient Outcomes Repository for Treatment registry, which contains PROs and electronic medical record data from 21,423 patients (March 17, 2016–June 25, 2019) presenting to pain management clinics, we tested the hypothesis that hierarchical clustering subgroup was associated with fibromyalgia diagnosis, as determined by ICD-10 code. Logistic regression revealed a significant relationship between the body map cluster subgroup and fibromyalgia diagnosis. The cluster subgroup with the most body areas selected was the most likely to receive a diagnosis of fibromyalgia when controlling for age, gender, anxiety, and depression. Despite this, more than two-thirds of patients in this cluster lacked a clinical fibromyalgia diagnosis. In an exploratory analysis to better understand this apparent underdiagnosis, we developed and applied proxies of fibromyalgia diagnostic criteria. We found that proxy diagnoses were more common than ICD-10 diagnoses, which may be due to less frequent clinical fibromyalgia diagnosis in men. Overall, we find evidence of fibromyalgia underdiagnosis, likely due to gender bias. Coupling PROs that take seconds to complete, such as a digital pain body map, with machine learning is a promising strategy to reduce bias in fibromyalgia diagnosis and improve patient outcomes. Perspective This investigation applies hierarchical clustering to patient-reported, digital pain body maps, finding an association between body map responses and clinical fibromyalgia diagnosis. Rapid, computer-assisted interpretation of pain body maps would be clinically useful in prompting more detailed assessments for fibromyalgia, potentially reducing gender bias."
JOUR,"Gawrieh, Samer, Sethunath, Deepak, Cummings, Oscar W., Kleiner, David E., Vuppalanchi, Raj, Chalasani, Naga, Tuceryan, Mihran",Automated quantification and architectural pattern detection of hepatic fibrosis in NAFLD,,,2020,"Accurate detection and quantification of hepatic fibrosis remain essential for assessing the severity of non-alcoholic fatty liver disease (NAFLD) and its response to therapy in clinical practice and research studies. Our aim was to develop an integrated artificial intelligence-based automated tool to detect and quantify hepatic fibrosis and assess its architectural pattern in NAFLD liver biopsies. Digital images of the trichrome-stained slides of liver biopsies from patients with NAFLD and different severity of fibrosis were used. Two expert liver pathologists semi-quantitatively assessed the severity of fibrosis in these biopsies and using a web applet provided a total of 987 annotations of different fibrosis types for developing, training and testing supervised machine learning models to detect fibrosis. The collagen proportionate area (CPA) was measured and correlated with each of the pathologists semi-quantitative fibrosis scores. Models were created and tested to detect each of six potential fibrosis patterns. There was good to excellent correlation between CPA and the pathologist score of fibrosis stage. The coefficient of determination (R2) of automated CPA with the pathologist stages ranged from 0.60 to 0.86. There was considerable overlap in the calculated CPA across different fibrosis stages. For identification of fibrosis patterns, the models areas under the receiver operator curve were 78.6% for detection of periportal fibrosis, 83.3% for pericellular fibrosis, 86.4% for portal fibrosis and >90% for detection of normal fibrosis, bridging fibrosis, and presence of nodule/cirrhosis. In conclusion, an integrated automated tool could accurately quantify hepatic fibrosis and determine its architectural patterns in NAFLD liver biopsies."
JOUR,"Thi Dieu Truong, Hien, Al-Sarayreh, Mahmoud, Reddy, Pullanagari, Reis, Marlon M, Archer, Richard",The potential of deep learning to counter the matrix effect for assessment of honey quality and monoflorality,,,2024,"The complexity of biological matrices affects Near-infrared (NIR) signals. Honey, a complex food matrix, changes in chemical and physical properties over time indicating strong matrix effects when capturing NIR spectra. The varied floral sources in most honeys also contribute to this effect. A real dataset of 1656 honey samples spanning eight geographic districts of the North Island of New Zealand captured by NIR hyperspectral camera was analyzed with machine learning and deep learning models to assess mānuka honey quality and identity. One-dimensional neural network (1D-CNN) showed high capacity to accommodate the complexity of the honey matrix, better than did linear machine learning models, particularly for prediction of a trademarked continuous quality score of mānuka honey, known as Unique Mānuka Factor (UMFTM). Monofloral mānuka honey was distinguished well from multi-floral and non-mānuka when classified with 1D-CNN, achieving > 90 % class accuracy, better than conventional classifiers. Interestingly, 1D-CNN models could precisely identify important spectral regions such as Visible (666–725 nm) & NIR (991 and 1435 nm) supporting the evaluation of mānuka honey quality and determining botanical origin as Leptospermum scoparium. Both are useful for future model development and application to automated assessment of honey quality and monoflorality before lumped extraction."
JOUR,"Summers, Ronald M., Elton, Daniel C., Lee, Sungwon, Zhu, Yingying, Liu, Jiamin, Bagheri, Mohammedhadi, Sandfort, Veit, Grayson, Peter C., Mehta, Nehal N., Pinto, Peter A., Linehan, W. Marston, Perez, Alberto A., Graffy, Peter M., O'Connor, Stacy D., Pickhardt, Perry J.",Atherosclerotic Plaque Burden on Abdominal CT: Automated Assessment With Deep Learning on Noncontrast and Contrast-enhanced Scans,,,2021,"Background Abdominal aortic atherosclerotic plaque burden may have clinical significance but manual measurement is time-consuming and impractical. Purpose To perform external validation on an automated atherosclerotic plaque detector for noncontrast and postcontrast abdominal CT. Materials and Methods The training data consisted of 114 noncontrast CT scans and 23 postcontrast CT urography scans. The testing data set consisted of 922 CT colonography (CTC) scans, and 1207 paired noncontrast and postcontrast CT scans from renal donors from a second institution. Reference standard data included manual plaque segmentations in the 137 training scans and manual plaque burden measurements in the 922 CTC scans. The total Agatston score and group (0–3) was determined using fully-automated deep learning software. Performance was assessed by measures of agreement, linear regression, and paired evaluations. Results On CTC scans, automated Agatston scoring correlated highly with manual assessment (R2 = 0.94). On paired renal donor CT scans, automated Agatston scoring on postcontrast CT correlated highly with noncontrast CT (R2 = 0.95). When plaque burden was expressed as a group score, there was excellent agreement for both the CTC (weighted kappa 0.80 ± 0.01 [95% confidence interval: 0.78–0.83]) and renal donor (0.83 ± 0.02 [0.79–0.86]) assessments. Conclusion Fully automated detection, segmentation, and scoring of abdominal aortic atherosclerotic plaques on both pre- and post-contrast CT was validated and may have application for population-based studies."
JOUR,"Kanbar, Lara J., Mishra, Anagh, Osborn, Alexander, Cifuentes, Andrew, Combs, Jennifer, Sorter, Michael, Barzman, Drew, Dexheimer, Judith W.",Investigation of bias in the automated assessment of school violence,,,2024,"Objectives Natural language processing and machine learning have the potential to lead to biased predictions. We designed a novel Automated RIsk Assessment (ARIA) machine learning algorithm that assesses risk of violence and aggression in adolescents using natural language processing of transcribed student interviews. This work evaluated the possible sources of bias in the study design and the algorithm, tested how much of a prediction was explained by demographic covariates, and investigated the misclassifications based on demographic variables. Methods We recruited students 10–18 years of age and enrolled in middle or high schools in Ohio, Kentucky, Indiana, and Tennessee. The reference standard outcome was determined by a forensic psychiatrist as either a “high” or “low” risk level. ARIA used L2-regularized logistic regression to predict a risk level for each student using contextual and semantic features. We conducted three analyses: a PROBAST analysis of risk in study design; analysis of demographic variables as covariates; and a prediction analysis. Covariates were included in the linear regression analyses and comprised of race, sex, ethnicity, household education, annual household income, age at the time of visit, and utilization of public assistance. Results We recruited 412 students from 204 schools. ARIA performed with an AUC of 0.92, sensitivity of 71%, NPV of 77%, and specificity of 95%. Of these, 387 students with complete demographic information were included in the analysis. Individual linear regressions resulted in a coefficient of determination less than 0.08 across all demographic variables. When using all demographic variables to predict ARIA’s risk assessment score, the multiple linear regression model resulted in a coefficient of determination of 0.189. ARIA performed with a lower False Negative Rate (FNR) of 15.2% (CI [0 – 40]) for the Black subgroup and 12.7%, CI [0 – 41.4] for Other races, compared to an FNR of 26.1% (CI [14.1 – 41.8]) in the White subgroup. Conclusions Bias assessment is needed to address shortcomings within machine learning. In our work, student race, ethnicity, sex, use of public assistance, and annual household income did not explain ARIA’s risk assessment score of students. ARIA will continue to be evaluated regularly with increased subject recruitment."
JOUR,"Razfar, Najmeh, Kashef, Rasha, Mohammadi, Farah",An Artificial Intelligence model for smart post-stroke assessment using wearable sensors,,,2023,"Wearable sensors provide a recording capability of the body segments’ motion. By collecting and analyzing the segments’ movements, automating the post-stroke assessment process would be feasible and reliable. Post-stroke classification of impaired or non-impaired body parts is the first step of automating the assessment process. It is recently achievable by utilizing enhancements in supervised machine learning (ML) using wearable sensors. Many classification-based approaches have numerous complexity/quality trade-offs with no optimal solution for all datasets of various structures, properties, distributions, and sizes. Ensemble machine learning provides reliable classification systems for diagnostic purposes. However, there are no criteria for identifying the baseline models in the aggregate (parallel or sequential aggregation), which significantly impacts the complexity and accuracy of the designed ensemble. In this paper, we propose an efficient post-stroke diagnosis system using the notion of multi-level ensemble learning, the Multi-Level Meta Learner (MLML) ensemble algorithm with heterogeneous or homogeneous baseline classifiers using Xsens wearable sensor collected dataset. The MLML outperforms the baseline models with comparable performance while generating a list of optimal candidate heterogeneous baseline classifiers. This list can provide only potential positive combinations, significantly improving the performance and reducing the complexity of building an ensemble. The linear acceleration and angular velocity derived from the wearable sensors are utilized. Experimental results show that the MLML has enhanced the accuracy of classifying the impaired hands from non-impaired hands with an improvement of up to 95.64% and 91.2% for boosting and Bagging learning, respectively."
